Juan Sanchez,DevOps Engineer,juan.sanchez@hotmail.com
Jose Gomez,DevOps Engineer,jose.gomez@hotmail.com
Rogelio Aguirre,Developer,rogelio.aguirre@hotmail.com
Carlos Lopez,Tester,carlos.lopez@hotmail.com
Miguel Diaz,DevOps Engineer,miguel.diaz@hotmail.com
Lucio Reyes,Developer,lucio.reyes@hotmail.com
Alonso Ortiz,DevOps Engineer,alonso.ortiz@hotmail.com
Francisco Gomez,DevOps Engineer,francisco.gomez@hotmail.com
Jesus Garcia,Developer,jesus.garcia@hotmail.com
Roberto Perez,Tester,roberto.perez@hotmail.com
Hector Zavala,DevOps Engineer,hector.zavala@hotmail.com
Fernando Baiza,Developer,fernando.baiza@hotmail.com
Jose Sanchez,DevOps Engineer,jose.sanchez@hotmail.com
Marco Lopez,DevOps Engineer,marco.lopez@hotmail.com
Arturo Sandoval,Developer,arturo.sandoval@hotmail.com
Enrique Trejo,Tester,enrique.trejo@hotmail.com
Agustin Carrillo,DevOps Engineer,agustin.carrillo@hotmail.com
Valentin Reyes,Developer,valentin.reyes@hotmail.com
Juan Arellano,DevOps Engineer,juan.arellano@hotmail.com
Antonio Lozano,DevOps Engineer,antonio.lozano@hotmail.com
Saul Arambula,DevOps Engineer,saul.arambula@hotmail.com
Victor Murillo,DevOps Engineer,victor.murillo@hotmail.com
Moises Mendez,DevOps Engineer,moises.mendez@hotmail.com
Alfonso Cabrera,DevOps Engineer,alfonso.cabrera@hotmail.com
Misael Rendon,DevOps Engineer,misael.rendon@hotmail.com
Pedro Salina,DevOps Engineer,pedro.salina@hotmail.com
